Rank  char    count        %
#1     '"'     3939    2.210
#2     ';'     3860    2.166
#3     '.'     3354    1.882
#4     ':'     3152    1.768
#5     '0'     2847    1.597
#6     ','     2172    1.219
#7     '/'     1996    1.120
#8     '1'     1991    1.117
#9     '-'     1891    1.061
#10    '['     1700    0.954
#11    ']'     1700    0.954
#12    '`'     1680    0.943
#13    ')'     1538    0.863
#14    '('     1531    0.859
#15    '='     1074    0.603
#16    '2'     1018    0.571
#17    '{'      631    0.354
#18    '}'      630    0.353
#19   '\\'      561    0.315
#20    '3'      559    0.314
#21    '5'      473    0.265
#22    '$'      457    0.256
#23    '9'      363    0.204
#24    "'"      336    0.189
#25    '4'      320    0.180
#26    '?'      315    0.177
#27    '*'      286    0.160
#28    '+'      286    0.160
#29    '8'      278    0.156
#30    '6'      269    0.151
#31    '#'      231    0.130
#32    '7'      230    0.129
#33    '_'      177    0.099
#34    '!'      162    0.091
#35    '>'      134    0.075
#36    '@'      124    0.070
#37    '<'      123    0.069
#38    '%'       73    0.041
#39    '~'       72    0.040
#40    '&'       69    0.039
#41    '|'       53    0.030
#42    '^'       16    0.009

total chars: 178244

